"plantbarcode","genotype","Subpop.","Exp","treatment","image_id","Average.Root.Width..Diameter.","Network.Bushiness","Network.Depth","Ellipse.Axes.Ratio","Network.Length.Distribution","Major.Ellipse.Axis","Maximum.Number.of.Roots","Network.Width","Median.Number.of.Roots","Minor.Ellipse.Axis","Network.Area","Network.Convex.Area","Network.Perimeter","Network.Solidity","Specific.Root.Length","Network.Surface.Area","Network.Length","Network.Volume","Network.Width.to.Depth.Ratio","Average.Root.Width..Diameter._Excised","Network.Bushiness_Excised","Network.Depth_Excised","Ellipse.Axes.Ratio_Excised","Network.Length.Distribution_Excised","Major.Ellipse.Axis_Excised","Maximum.Number.of.Roots_Excised","Network.Width_Excised","Median.Number.of.Roots_Excised","Minor.Ellipse.Axis_Excised","Network.Area_Excised","Network.Convex.Area_Excised","Network.Perimeter_Excised","Network.Solidity_Excised","Specific.Root.Length_Excised","Network.Surface.Area_Excised","Network.Length_Excised","Network.Volume_Excised","Network.Width.to.Depth.Ratio_Excised"
"Ea001AA019604","Ky21","nss","LT1b",100,646,0.183793645,1.571428571,41.69863014,0.331622413,0.174813862,31.63784632,22,12.54794521,14,10.49181895,166.4554325,365.5565772,2073.753425,0.455347935,22.38112238,924.804692,1601.657534,71.56287817,0.300919842,0.097690571,1.5,19.68493151,0.146304279,0.279533679,19.02035629,6,3.02739726,4,2.782759519,10.60011259,56.97006943,267.4931507,0.18606459,100.3839056,41.49089541,135.1917808,1.346747569,0.153792624
"Ea001AA019605","Ky21","nss","LT1b",100,797,0.23877119,1.857142857,40.17808219,0.208175435,0.112938313,35.86592225,13,9.561643836,7,7.466403948,124.8669544,368.3561644,1250.547945,0.338984294,11.0421223,751.7556436,1002.178082,90.75955279,0.237981589,0.09642778,1.6,31.71232877,0.161266336,0.154601098,28.2699692,8,4.821917808,5,4.558994345,21.53706136,142.1978795,560.1643836,0.151458386,94.34903581,90.80634446,299.7534247,3.177069295,0.152051836
"Ea001AA019606","Ky21","nss","LT1b",100,911,0.332408131,1.615384615,27.80821918,0.47406473,0.210613279,24.44488991,21,13.64383562,13,11.58846012,138.5434415,295.5914806,1372.178082,0.468699035,2.986199439,1079.567947,1033.780822,346.1861282,0.490640394,0.079304996,2.5,24.1369863,0.125385844,0.12405866,20.3235977,5,2.863013699,2,2.548291451,7.44642522,58.9506474,230.4657534,0.126316259,162.890032,29.0372206,116.5479452,0.715500782,0.11861521
"Ea001AA019607","Ky21","nss","LT1b",100,943,0.219417616,1.666666667,32.36986301,0.521434034,0.159237623,25.70578683,25,17.94520548,15,13.40387212,154.1702008,388.7343779,1869.863014,0.396595232,10.40185718,963.1510852,1397.246575,134.3266448,0.554380025,0.08277152,2,10.54794521,0.375923466,0.212829227,10.48478204,4,2.123287671,2,3.94147561,2.701444924,28.82398199,80.12328767,0.093722128,152.4734119,10.16983846,39.10958904,0.256501042,0.201298701
"Ea001AA019608","Ky21","nss","LT1b",100,1120,0.258518027,1.333333333,36.84931507,0.179437468,0.304509932,34.30359941,12,6.602739726,9,6.155351019,108.0883843,231.7708763,1057.780822,0.466358785,8.317770268,688.9884044,848.3424658,101.9915721,0.179182156,0.133045521,1.6,23.64383562,0.225643884,0.308194344,21.98857205,8,5.095890411,5,4.96158681,24.92287484,129.3523175,466.2739726,0.192674359,43.51943783,113.6204457,271.8356164,6.246303491,0.215527231
"Ea001AB019609","Ky21","nss","LT1b",75,22,0.144107466,2.5,43.45205479,0.212139189,0.208943823,33.6987937,15,6.98630137,6,7.14883476,65.11915932,255.5904485,1171.671233,0.254779315,30.15223038,323.9168356,715.4794521,23.72890639,0.160781841,0.131331916,2.666666667,29.63013699,0.205195647,0.078684736,24.00716012,8,5.273972603,3,4.926164756,24.42278101,159.1204729,457.2054795,0.153486101,46.97450586,116.0455656,281.260274,5.987508944,0.177993528
"Ea001AB019610","Ky21","nss","LT1b",75,222,0.163447722,1.466666667,37.78082192,0.291084897,0.227169866,33.46511967,22,11.65753425,15,9.741190901,135.6984425,346.6594108,1994.493151,0.391446008,26.69705262,709.4971964,1381.726027,51.75575173,0.308556925,0.101008451,3.5,24.80821918,0.287762495,0.099663583,21.93415573,7,7.315068493,2,6.31182737,11.20247701,124.8609495,270.109589,0.089719621,93.73755622,45.46910543,143.2876712,1.528604724,0.294864716
"Ea001AB019611","Ky21","nss","LT1b",75,249,0.213106291,1.727272727,36.80821918,0.274795771,0.152578119,31.72208232,19,11.09589041,11,8.717094065,148.1827735,314.2699381,1595.109589,0.471514312,15.3672295,872.083621,1302.60274,84.76496952,0.301451433,0.081391292,1,7.616438356,0.333868091,0.388971684,9.180469321,1,0.465753425,1,3.065065765,0.924376056,14.21251642,28.61643836,0.065039577,182.6816262,3.26453152,12.76712329,0.069887287,0.061151079
"Ea001AB019612","Ky21","nss","LT1b",75,445,0.283512197,1.666666667,36.52054795,0.190787074,0.308432955,32.88615189,10,7.109589041,6,6.274252699,85.77481704,217.2376619,792.7534247,0.394843216,6.849919357,542.1799983,608.7260274,88.86615969,0.194673668,0.098118366,1.333333333,14.1369863,0.131998165,0.5390625,16.42308395,4,3.602739726,3,2.167816947,5.191968474,46.17301558,130.3972603,0.112445947,102.1041653,20.78351171,67.42465753,0.660351685,0.254844961
"Ea001AB019613","Ky21","nss","LT1b",75,521,0.229040195,1.444444444,38.87671233,0.202480937,0.218207626,35.18334162,13,9.684931507,9,7.123955971,123.4180897,317.4104898,1271.041096,0.388828012,12.5122836,744.1931501,1034.246575,82.65849852,0.249119098,0.109501883,1.666666667,17.20547945,0.149915052,0.429582712,20.8671839,5,3.054794521,3,3.128304954,8.812535185,56.41977857,197.1780822,0.156195849,77.3898322,36.16349494,105.1232877,1.358360455,0.177547771
"Ea001AC019624","Ky21","nss","LT1b",50,632,0.172133127,1.571428571,26.43835616,0.22804869,0.38331129,25.46725936,11,9.739726027,7,5.807775144,46.86094952,202.2763183,732.2465753,0.231667997,18.69314557,255.6815248,472.8082192,25.29313312,0.368393782,0.094839756,3,19.49315068,0.117497276,0.210207613,22.36777232,3,2.410958904,1,2.628152317,4.511165322,59.33730531,115.4246575,0.076025787,118.4983004,17.12996248,57.49315068,0.485181226,0.123682361
